"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 13 00:10:12 GMT 2024","Fri Sep 13 00:10:14 GMT 2024","1565","tests","test_smoke","TestSmoke","","","test_product_quantity",""
"passed","Fri Sep 13 00:09:35 GMT 2024","Fri Sep 13 00:09:42 GMT 2024","6455","tests","test_smoke","TestSmoke","","","test_logout",""
"passed","Fri Sep 13 00:09:55 GMT 2024","Fri Sep 13 00:09:55 GMT 2024","618","tests","test_smoke","TestSmoke","","","test_cases_page",""
"passed","Fri Sep 13 00:09:18 GMT 2024","Fri Sep 13 00:09:23 GMT 2024","4763","tests","test_smoke","TestSmoke","","","test_signup",""
"passed","Fri Sep 13 00:09:51 GMT 2024","Fri Sep 13 00:09:53 GMT 2024","1769","tests","test_smoke","TestSmoke","","","test_contact_form",""
"passed","Fri Sep 13 00:09:57 GMT 2024","Fri Sep 13 00:09:57 GMT 2024","803","tests","test_smoke","TestSmoke","","","test_verify_all_products_and_details",""
"passed","Fri Sep 13 00:09:25 GMT 2024","Fri Sep 13 00:09:31 GMT 2024","6498","tests","test_smoke","TestSmoke","","","test_login",""
"passed","Fri Sep 13 00:09:33 GMT 2024","Fri Sep 13 00:09:34 GMT 2024","727","tests","test_smoke","TestSmoke","","","test_invalid_login",""
"passed","Fri Sep 13 00:10:05 GMT 2024","Fri Sep 13 00:10:06 GMT 2024","464","tests","test_smoke","TestSmoke","","","test_subscription_cart",""
"passed","Fri Sep 13 00:10:07 GMT 2024","Fri Sep 13 00:10:10 GMT 2024","2887","tests","test_smoke","TestSmoke","","","test_adding_to_cart",""
"passed","Fri Sep 13 00:09:43 GMT 2024","Fri Sep 13 00:09:49 GMT 2024","5988","tests","test_smoke","TestSmoke","","","test_existing_email_registration",""
"passed","Fri Sep 13 00:10:15 GMT 2024","Fri Sep 13 00:10:24 GMT 2024","8516","tests","test_smoke","TestSmoke","","","test_register_while_checkout",""
"passed","Fri Sep 13 00:10:25 GMT 2024","Fri Sep 13 00:10:34 GMT 2024","8480","tests","test_smoke","TestSmoke","","","test_register_before_checkout",""
"passed","Fri Sep 13 00:10:02 GMT 2024","Fri Sep 13 00:10:04 GMT 2024","1571","tests","test_smoke","TestSmoke","","","test_subscription_homepage",""
"passed","Fri Sep 13 00:09:59 GMT 2024","Fri Sep 13 00:10:01 GMT 2024","1263","tests","test_smoke","TestSmoke","","","test_product_search",""
