"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 13 00:09:14 GMT 2024","Fri Sep 13 00:09:21 GMT 2024","7016","tests","test_smoke","TestSmoke","","","test_existing_email_registration",""
"passed","Fri Sep 13 00:08:49 GMT 2024","Fri Sep 13 00:08:54 GMT 2024","5074","tests","test_smoke","TestSmoke","","","test_signup",""
"passed","Fri Sep 13 00:09:36 GMT 2024","Fri Sep 13 00:09:38 GMT 2024","2042","tests","test_smoke","TestSmoke","","","test_subscription_homepage",""
"passed","Fri Sep 13 00:09:27 GMT 2024","Fri Sep 13 00:09:28 GMT 2024","692","tests","test_smoke","TestSmoke","","","test_cases_page",""
"passed","Fri Sep 13 00:09:04 GMT 2024","Fri Sep 13 00:09:05 GMT 2024","799","tests","test_smoke","TestSmoke","","","test_invalid_login",""
"passed","Fri Sep 13 00:09:23 GMT 2024","Fri Sep 13 00:09:25 GMT 2024","1874","tests","test_smoke","TestSmoke","","","test_contact_form",""
"passed","Fri Sep 13 00:09:40 GMT 2024","Fri Sep 13 00:09:40 GMT 2024","585","tests","test_smoke","TestSmoke","","","test_subscription_cart",""
"passed","Fri Sep 13 00:09:42 GMT 2024","Fri Sep 13 00:09:46 GMT 2024","3860","tests","test_smoke","TestSmoke","","","test_adding_to_cart",""
"passed","Fri Sep 13 00:09:48 GMT 2024","Fri Sep 13 00:09:50 GMT 2024","1530","tests","test_smoke","TestSmoke","","","test_product_quantity",""
"passed","Fri Sep 13 00:09:33 GMT 2024","Fri Sep 13 00:09:34 GMT 2024","1164","tests","test_smoke","TestSmoke","","","test_product_search",""
"passed","Fri Sep 13 00:09:29 GMT 2024","Fri Sep 13 00:09:31 GMT 2024","1520","tests","test_smoke","TestSmoke","","","test_verify_all_products_and_details",""
"passed","Fri Sep 13 00:10:02 GMT 2024","Fri Sep 13 00:10:10 GMT 2024","8257","tests","test_smoke","TestSmoke","","","test_register_before_checkout",""
"passed","Fri Sep 13 00:09:06 GMT 2024","Fri Sep 13 00:09:12 GMT 2024","5877","tests","test_smoke","TestSmoke","","","test_logout",""
"passed","Fri Sep 13 00:09:52 GMT 2024","Fri Sep 13 00:10:00 GMT 2024","8306","tests","test_smoke","TestSmoke","","","test_register_while_checkout",""
"passed","Fri Sep 13 00:08:55 GMT 2024","Fri Sep 13 00:09:02 GMT 2024","6457","tests","test_smoke","TestSmoke","","","test_login",""
