"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 12 19:42:46 GMT 2024","Thu Sep 12 19:42:59 GMT 2024","12563","tests","test_smoke","TestSmoke","","","test_register_while_checkout",""
"passed","Thu Sep 12 19:41:31 GMT 2024","Thu Sep 12 19:41:41 GMT 2024","9170","tests","test_smoke","TestSmoke","","","test_login",""
"passed","Thu Sep 12 19:42:16 GMT 2024","Thu Sep 12 19:42:17 GMT 2024","1162","tests","test_smoke","TestSmoke","","","test_cases_page",""
"passed","Thu Sep 12 19:43:01 GMT 2024","Thu Sep 12 19:43:16 GMT 2024","14249","tests","test_smoke","TestSmoke","","","test_register_before_checkout",""
"passed","Thu Sep 12 19:42:35 GMT 2024","Thu Sep 12 19:42:39 GMT 2024","4034","tests","test_smoke","TestSmoke","","","test_adding_to_cart",""
"passed","Thu Sep 12 19:41:43 GMT 2024","Thu Sep 12 19:41:44 GMT 2024","1179","tests","test_smoke","TestSmoke","","","test_invalid_login",""
"passed","Thu Sep 12 19:42:19 GMT 2024","Thu Sep 12 19:42:21 GMT 2024","1677","tests","test_smoke","TestSmoke","","","test_verify_all_products_and_details",""
"passed","Thu Sep 12 19:42:12 GMT 2024","Thu Sep 12 19:42:14 GMT 2024","2443","tests","test_smoke","TestSmoke","","","test_contact_form",""
"passed","Thu Sep 12 19:42:32 GMT 2024","Thu Sep 12 19:42:33 GMT 2024","911","tests","test_smoke","TestSmoke","","","test_subscription_cart",""
"passed","Thu Sep 12 19:42:41 GMT 2024","Thu Sep 12 19:42:44 GMT 2024","2896","tests","test_smoke","TestSmoke","","","test_product_quantity",""
"passed","Thu Sep 12 19:42:27 GMT 2024","Thu Sep 12 19:42:30 GMT 2024","2665","tests","test_smoke","TestSmoke","","","test_subscription_homepage",""
"passed","Thu Sep 12 19:41:58 GMT 2024","Thu Sep 12 19:42:09 GMT 2024","10993","tests","test_smoke","TestSmoke","","","test_existing_email_registration",""
"passed","Thu Sep 12 19:41:23 GMT 2024","Thu Sep 12 19:41:29 GMT 2024","6347","tests","test_smoke","TestSmoke","","","test_signup",""
"passed","Thu Sep 12 19:41:46 GMT 2024","Thu Sep 12 19:41:55 GMT 2024","8955","tests","test_smoke","TestSmoke","","","test_logout",""
"passed","Thu Sep 12 19:42:23 GMT 2024","Thu Sep 12 19:42:25 GMT 2024","2153","tests","test_smoke","TestSmoke","","","test_product_search",""
